白首穷经 bái shǒu qióng jīng
白首如新 bái shǒu rú xīn
百兽率舞 bǎi shòu shuài wǔ
白首同归 bái shǒu tóng guī
白首为郎 bái shǒu wéi láng
白首相知 bái shǒu xiāng zhī
白首相庄 bái shǒu xiāng zhuāng
白手兴家 bái shǒu xīng jiā
白首一节 bái shǒu yī jié
白首之心 bái shǒu zhī xīn
白水鉴心 bái shuǐ jiàn xīn
白水素女 bái shuǐ sù nǚ
白水真人 bái shuǐ zhēn rén
百顺百依 bǎi shùn bǎi yī
百顺千随 bǎi shùn qiān suí
稗说琐语 bài shuō suǒ yǔ
百思不解 bǎi sī bù jiě
百思莫解 bǎi sī mò jiě
百死一生 bǎi sǐ yī shēng
白叟黄童 bái sǒu huáng tóng
败俗伤风 bài sú shāng fēng
败俗伤化 bài sú shāng huà
百岁千秋 bǎi suì qiān qiū
百岁之好 bǎi suì zhī hǎo
百岁之后 bǎi suì zhī hòu
百岁之盟 bǎi suì zhī méng
白天见鬼 bái tiān jiàn guǐ
百听不厌 bǎi tīng bù yàn
白头不终 bái tóu bù zhōng
白头到老 bái tóu dào lǎo
白头蹀跇 bái tóu dié yì
白头而新 bái tóu ér xīn
白头如新 bái tóu rú xīn
白头相并 bái tóu xiāng bìng
白头相守 bái tóu xiāng shǒu
白头偕老 bái tóu xié lǎo
白头之叹 bái tóu zhī tàn
白兔赤乌 bái tù chì wū
白兔捣药 bái tù dǎo yào
百万雄兵 bǎi wàn xióng bīng
百万雄师 bǎi wàn xióng shī
白往黑来 bái wǎng hēi lái
摆尾摇头 bǎi wěi yáo tóu
白屋寒门 bái wū hán mén
百务具举 bǎi wù jù jǔ
百无聊赖 bǎi wú liáo lài
百无是处 bǎi wú shì chù
百无所成 bǎi wú suǒ chéng
百无一成 bǎi wú yī chéng
百无一堪 bǎi wú yī kān
百无一能 bǎi wú yī néng
百无一失 bǎi wú yī shī
百无一是 bǎi wú yī shì
百无一用 bǎi wú yī yòng
白屋之士 bái wū zhī shì
百下百全 bǎi xià bǎi quán
百下百着 bǎi xià bǎi zháo
败兴而归 bài xìng ér guī
摆袖却金 bài xiù què jīn
白雪皑皑 bái xuě ái ái
白雪难和 bái xuě nán hé
白雪阳春 bái xuě yáng chūn
白眼相看 bái yǎn xiāng kàn
白眼珠子 bái yǎn zhū zi
百业萧条 bǎi yè xiāo tiáo
百依百从 bǎi yī bǎi cóng
百依百顺 bǎi yī bǎi shùn
百依百随 bǎi yī bǎi suí
百衣百随 bǎi yī bǎi suí
白衣苍狗 bái yī cāng gǒu
白衣公卿 bái yī gōng qīng
柏夷亮父 bǎi yí liàng fù
白衣卿相 bái yī qīng xiàng
白衣送酒 bái yī sòng jiǔ
白衣天使 bái yī tiān shǐ
白衣仙人 bái yī xiān rén
白衣秀士 bái yī xiù shì
白衣宰相 bái yī zǎi xiàng
白蚁争穴 bái yǐ zhēng xué
白鱼赤乌 bái yú chì wū
败于垂成 bài yú chuí chéng
白鱼登舟 bái yú dēng zhōu
白鱼入舟 bái yú rù zhōu
白玉微瑕 bái yù wēi xiá
白玉无瑕 bái yù wú xiá
白云苍狗 bái yún cāng gǒu
白云孤飞 bái yún gū fēi
白云亲舍 bái yún qīn shè
百载树人 bǎi zǎi shù rén
百战百败 bǎi zhàn bǎi bài
