拔地摇山   ba2 di4 yao2 shan1
拔地倚天   ba2 di4 yi3 tian1
拔丁抽楔   ba2 ding1 chou1 xie1
八洞神仙   ba1 dong4 shen2 xian1
八斗之才   ba1 dou3 zhi1 cai2
把饭叫饥   ba3 fan4 jiao4 ji1
八方风雨   ba1 fang1 feng1 yu3
八方呼应   ba1 fang1 hu1 ying4
八方支持   ba1 fang1 zhi1 chi2
八方支援   ba1 fang1 zhi1 yuan2
八府巡按   ba1 fu3 xun2 an4
扒高踩低   ba1 gao1 cai3 di1
巴高望上   ba1 gao1 wang4 shang4
巴高枝儿   ba1 gao1 zhi1 er2
八功德水   ba1 gong1 de2 shui3
八卦方位   ba1 gua4 fang1 wei4
八观六验   ba1 guan1 liu4 yan4
拔锅卷席   ba2 guo1 juan3 xi2
八国联军   ba1 guo2 lian2 jun1
八纮同轨   ba1 hong2 tong2 gui3
跋扈飞扬   ba2 hu4 fei1 yang2
跋扈将军   ba2 hu4 jiang1 jun1
跋胡疐尾   ba2 hu2 zhi4 wei3
跋扈恣睢   ba2 hu4 zi4 sui1
跋扈自恣   ba2 hu4 zi4 zi4
八荒之外   ba1 huang1 zhi1 wai4
拔火罐子   ba2 huo3 guan4 zi0
拔剑论功   ba2 jian4 lun4 gong1
八街九陌   ba1 jie1 jiu3 mo4
扒街淘空   ba1 jie1 tao2 null
把酒持螯   ba3 jiu3 chi2 ao2
拔葵啖枣   ba2 kui2 dan4 zao3
拔葵去织   ba2 kui2 qu4 zhi1
拔来报往   ba2 lai2 fu4 wang3
跋来报往   ba2 lai2 fu4 wang3
拔类超群   ba2 lei4 chao1 qun2
巴黎和会   ba1 li2 he2 hui4
霸陵醉尉   ba4 ling2 zui4 wei4
跋履山川   ba2 lü3 shan1 chuan1
拔毛济世   ba2 mao2 ji4 shi4
拔毛连茹   ba2 mao2 lian2 ru2
拔茅连茹   ba2 mao2 lian2 ru2
八米卢郎   ba1 mi3 lu2 lang2
八面见光   ba1 mian4 jian4 guang1
八面玲珑   ba1 mian4 ling2 long2
八面驶风   ba1 mian4 shi3 feng1
八面受敌   ba1 mian4 shou4 di2
八面威风   ba1 mian4 wei1 feng1
八面莹澈   ba1 mian4 ying2 che4
八面圆通   ba1 mian4 yuan2 tong1
八面张罗   ba1 mian4 zhang1 luo0
